problem_id,discrimination
0,0.0572937724836458
1,0.0
2,0.0
3,0.1958874458874459
4,0.2329979879275653
5,0.3045244893476828
6,0.131100054525627
7,0.0
8,0.0
9,0.0
10,0.0
11,0.3888888888888889
12,0.4166666666666666
13,0.2074074074074073
14,0.0
15,0.1875
16,0.0047846889952152
17,0.1298076923076923
18,0.0047846889952152
19,-0.1666666666666666
20,0.4047619047619047
21,0.0
22,0.1061940565699964
23,0.0
24,0.0
25,0.2575757575757576
26,0.3315602836879432
27,0.0829166666666667
28,0.1493646138807429
29,0.1121174352582745
30,0.0
31,0.2099568345323741
32,0.1092271462213658
33,0.2153846153846153
34,0.275842044134727
35,0.1933537310895801
36,0.4497297297297297
37,0.6142857142857143
38,0.6666666666666667
39,0.3125
40,0.5454545454545454
41,0.3263157894736841
42,-0.1428571428571428
43,0.0166666666666666
44,-0.0245270360928485
45,0.1680223285486443
46,-0.0119047619047619
47,0.2933631492342096
48,0.4297872340425531
49,0.2609631423190745
50,0.3638373121131741
51,0.1585329784087548
52,0.375
53,0.6818181818181818
54,0.0956937799043062
55,-0.25
56,0.0916666666666666
57,0.9090909090909092
58,0.75
59,0.25
60,0.8695652173913043
61,0.2822966507177033
62,0.2772727272727273
63,0.3692992213570634
64,0.1601153039832285
65,0.0
66,0.4642857142857143
67,0.4166666666666667
68,0.6263736263736264
69,0.1168148013785597
70,0.1518928181959806
71,0.6428571428571428
72,0.0346534653465346
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.4791886195995785
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0787823001740527
93,0.234704340890965
94,-0.0424117038569528
95,0.1207070707070706
96,0.0344872126065616
97,0.0929806181246726
98,0.202389486260454
99,0.0589225589225589
100,0.1607581607581607
101,0.1345034246575341
102,0.1429282042778975
103,0.076632174495645
104,0.1884537598823313
105,0.190772078265468
106,0.1140232974910394
107,0.3025036460865338
108,0.3040796963946869
109,0.1523809523809524
110,0.1114942528735633
111,0.1502973921000456
112,0.1672707889125799
113,0.1960453283996299
114,0.2037931034482759
115,0.0
116,0.1353872244205766
117,0.380952380952381
118,-0.25
119,0.2285714285714285
120,0.0
121,0.0
122,0.0
123,0.3680056377730796
124,0.0
125,0.0
126,0.2733234609689021
127,0.3734834139841503
128,-0.0285714285714285
129,0.3025525525525525
130,0.3071965628356605
131,0.4057971014492753
132,0.2483601354210748
133,0.1888052328552447
134,0.223062015503876
135,0.058106169296987
136,0.0
137,0.0619015047879616
138,0.0
139,0.0158514876663558
140,0.1184079601990049
141,0.5714285714285714
